let55,G,4697
svar51,B,2516
super14,R,2435
let43,R,868
para13,R,5837
svar22,G,3726
mod83,G,5362
mod09,R,5055
super19,G,1904
svar62,B,6196
let91,R,5182
para18,G,3535
inter19,B,1268
cyl14,G,2374
inter14,G,1153
mod13,R,538
let24,R,9864
cyl42,G,3931
mod93,R,8698
cyl42,R,3799
let80,G,3782
let60,B,2721
svar35,G,876
super39,R,322
let76,G,5290
super36,B,148
mod54,B,3461
inter33,B,985
cyl11,G,6398
inter08,R,4766
let63,B,1157
mod59,R,8521
inter29,R,1021
mod72,B,4235
super20,B,2272
para41,B,6542
mod91,R,4437
super47,G,1918
super37,R,364
cyl03,R,5486
inter45,R,493
mod89,R,6078
inter41,B,389
para07,G,7582
cyl02,R,5494
let65,G,4566
cyl16,R,4053
svar09,G,10967
svar02,R,4983
para47,B,5608
svar42,G,5985
inter15,B,1229
let15,B,4430
mod85,B,3581
cyl22,R,1600
mod04,B,6270
super08,B,1232
mod46,G,2917
let38,G,4591
para23,G,1771
cyl22,B,1572
super16,R,1097
para01,B,5969
let71,R,6025
let25,G,10033
mod11,R,10561
mod12,B,269
mod97,B,6796
let90,G,3327
let21,R,2242
cyl14,B,1768
inter45,G,229
svar83,B,1608
svar36,B,5556
svar05,B,10014
mod50,B,3021
let52,R,5592
let10,B,1243
let66,R,3035
svar56,B,5904
cyl18,R,521
mod65,G,2133
let08,R,10998
svar85,G,6263
inter02,R,1348
inter43,R,503
para20,G,816
svar52,R,4333
cyl40,B,3466
para45,B,5628
para10,G,6403
super30,G,842
mod98,G,2295
cyl48,R,1933
inter21,G,1732
super32,R,826
let07,G,2532
cyl39,R,2168
svar14,B,6450
cyl24,R,1199
cyl37,R,3092
svar37,B,1203
svar47,G,5313
mod71,B,4934
let59,G,1567
mod43,G,1364
super15,R,805
inter28,B,674
mod20,G,5284
cyl41,G,3929
let52,B,4502
let39,B,4162
mod63,B,3763
para26,R,2270
mod74,R,5871
svar69,G,4453
cyl32,B,621
mod87,G,1296
svar01,R,3443
inter04,G,1180
cyl33,G,2067
let01,G,1772
mod15,B,2118
let63,G,1416
mod92,R,8712
svar90,R,2505
super02,R,2045
para39,G,3878
svar88,B,2386
mod56,G,3210
inter12,B,1867
mod25,B,1858
para49,G,4051
svar43,B,2740
let28,B,3261
let68,G,5054
mod42,G,1385
svar66,B,1768
inter22,B,2026
inter25,R,3296
svar95,R,4207
para16,R,2711
let29,R,6884
para24,B,543
mod66,B,6247
inter16,B,1280
svar30,B,3230
mod35,G,4052
let64,R,5833
inter39,B,299
svar63,R,9522
svar23,B,1334
svar17,G,2496
svar98,B,5482
let36,R,14457
