mod57,R,152540,20057.07376697184,mod
mod16,G,155620,19970.847496256887,mod
svar72,B,258297,19518.03563554264,svar
super27,B,222803,19076.95795263392,super
mod87,B,267773,19694.407372993926,mod
let76,R,168680,19682.132773152407,let
svar40,B,276603,19880.99699560016,svar
let58,R,253283,19441.566541056112,let
let09,B,223351,19169.872085474057,let
para08,B,292083,20285.46552818822,para
let33,G,214517,19197.885027759243,let
svar21,R,232175,19237.77998476403,svar
svar70,G,254666,19451.07145426056,svar
mod36,R,248697,19386.79760353196,mod
let95,G,277424,19895.022788572333,let
para17,R,51699,24188.318120046348,para
svar101,G,156506,19927.72635029364,svar
mod07,B,256293,19492.512915019128,mod
svar26,B,208547,19198.27523157191,svar
mod16,B,161911,19819.084526702096,mod
inter24,R,233697,19135.47167872241,inter
mod80,R,208242,19209.892252268102,mod
mod95,R,202876,19248.826660060673,mod
svar28,B,228597,19219.09408248897,svar
let77,B,222277,19192.40794131725,let
mod26,G,178780,19469.23073965045,mod
para06,G,147591,20185.733386130352,para
let85,B,193563,19320.14456406997,let
svar95,B,231953,19237.75087860292,svar
para20,R,248046,19378.4229484432,para
let92,B,302713,20595.849561979412,let
let96,G,232419,19196.776126027322,let
svar06,G,203912,19232.996773124047,svar
super26,B,221667,19057.885269497045,super
inter28,R,186051,19256.18266318152,inter
cyl42,B,286552,20111.888089083346,cyl
let47,G,239936,19248.381079854807,let
svar41,B,251866,19430.041162945334,svar
inter05,R,162956,19778.348840177485,inter
para40,B,177720,19505.037129066175,para
mod22,R,236322,19258.473742907303,mod
mod50,R,135135,20522.57206844911,mod
mod05,R,171431,19588.60053884178,mod
para38,R,235101,19248.531106497776,para
svar73,G,290824,20241.62935403793,svar
svar81,R,146106,20224.4628613778,svar
super04,R,215228,18829.920629521053,super
svar07,R,268533,19710.168246483525,svar
mod56,B,186708,19389.432043682005,mod
svar09,G,245311,19352.757548788428,svar
svar11,G,182257,19461.97998843675,svar
inter49,R,121645,20844.087429615083,inter
mod57,G,241743,19314.506584066225,mod
svar25,R,117259,21162.21517177638,svar
svar52,G,277780,19909.36789240181,svar
super50,B,178824,19351.2509497529,super
let57,R,253169,19445.75379762411,let
let62,G,322964,21319.610391059272,let
svar93,B,243853,19325.900272327224,svar
let21,R,91970,22175.027572558956,let
cyl49,R,169571,19649.376981416295,cyl
cyl44,B,286204,20091.59591506017,cyl
super43,B,199339,19111.43274427803,super
let89,B,216485,19111.93281103294,let
mod49,B,243130,19325.43652057923,mod
mod61,G,125560,20869.219940987554,mod
svar02,R,217563,19196.7963556504,svar
mod82,B,250816,19414.256575589305,mod
svar98,G,252016,19421.30060031543,svar
mod66,B,224393,19199.95857681892,mod
para12,B,330178,21602.51038146377,para
para29,R,263880,19590.127059192662,para
svar33,R,121925,20995.677834415408,svar
let11,B,268547,19654.519583013534,let
svar30,B,241998,19304.391563798054,svar
let57,G,256876,19497.22278861146,let
mod18,G,204603,19235.12576621706,mod
svar88,B,136080,20502.606695742677,svar
let01,G,259670,19510.67064534815,let
mod30,R,189153,19372.90638386023,mod
